Day,snap_shot,location,location_abbr,cases,Source
2022-06-22,2022-06-22 22:25:05,Non U.S. resident in the U.S.,Non U.S. resident in the U.S.,2,CDC
2022-06-23,2022-06-26 23:51:15,Arizona,AZ,1,CDC
2022-06-23,2022-06-26 23:51:15,California,CA,66,CDC
2022-06-23,2022-06-26 23:51:15,Colorado,CO,7,CDC
2022-06-23,2022-06-26 23:51:15,District of Columbia,DC,20,CDC
2022-06-23,2022-06-26 23:51:15,Florida,FL,27,CDC
2022-06-23,2022-06-26 23:51:15,Georgia,GA,7,CDC
2022-06-23,2022-06-26 23:51:15,Hawaii,HI,6,CDC
2022-06-23,2022-06-26 23:51:15,Illinois,IL,45,CDC
2022-06-23,2022-06-26 23:51:15,Indiana,IN,2,CDC
2022-06-23,2022-06-26 23:51:15,Kentucky,KY,1,CDC
2022-06-23,2022-06-26 23:51:15,Maryland,MD,5,CDC
2022-06-23,2022-06-26 23:51:15,Massachusetts,MA,13,CDC
2022-06-23,2022-06-26 23:51:15,Minnesota,MN,2,CDC
2022-06-23,2022-06-26 23:51:15,Missouri,MO,2,CDC
2022-06-23,2022-06-26 23:51:15,Nebraska,NE,1,CDC
2022-06-23,2022-06-26 23:51:15,Nevada,NV,2,CDC
2022-06-23,2022-06-26 23:51:15,New Jersey,NJ,2,CDC
2022-06-23,2022-06-26 23:51:15,New York,NY,63,CDC
2022-06-23,2022-06-26 23:51:15,North Carolina,NC,2,CDC
2022-06-23,2022-06-26 23:51:15,Ohio,OH,2,CDC
2022-06-23,2022-06-26 23:51:15,Oklahoma,OK,2,CDC
2022-06-23,2022-06-26 23:51:15,Oregon,OR,1,CDC
2022-06-23,2022-06-26 23:51:15,Pennsylvania,PA,4,CDC
2022-06-23,2022-06-26 23:51:15,Rhode Island,RI,1,CDC
2022-06-23,2022-06-26 23:51:15,Texas,TX,7,CDC
2022-06-23,2022-06-26 23:51:15,Utah,UT,4,CDC
2022-06-23,2022-06-26 23:51:15,Virginia,VA,3,CDC
2022-06-23,2022-06-26 23:51:15,Washington,WA,6,CDC
2022-06-23,2022-06-26 23:51:15,Non U.S. resident in the U.S.,Non U.S. resident in the U.S.,2,CDC
2022-06-27,2022-06-27 23:55:23,Arizona,AZ,1,CDC
2022-06-27,2022-06-27 23:55:23,California,CA,66,CDC
2022-06-27,2022-06-27 23:55:23,Colorado,CO,7,CDC
2022-06-27,2022-06-27 23:55:23,District of Columbia,DC,20,CDC
2022-06-27,2022-06-27 23:55:23,Florida,FL,27,CDC
2022-06-27,2022-06-27 23:55:23,Georgia,GA,7,CDC
2022-06-27,2022-06-27 23:55:23,Hawaii,HI,6,CDC
2022-06-27,2022-06-27 23:55:23,Illinois,IL,45,CDC
2022-06-27,2022-06-27 23:55:23,Indiana,IN,2,CDC
2022-06-27,2022-06-27 23:55:23,Kentucky,KY,1,CDC
2022-06-27,2022-06-27 23:55:23,Maryland,MD,5,CDC
2022-06-27,2022-06-27 23:55:23,Massachusetts,MA,13,CDC
2022-06-27,2022-06-27 23:55:23,Minnesota,MN,2,CDC
2022-06-27,2022-06-27 23:55:23,Missouri,MO,2,CDC
2022-06-27,2022-06-27 23:55:23,Nebraska,NE,1,CDC
2022-06-27,2022-06-27 23:55:23,Nevada,NV,2,CDC
2022-06-27,2022-06-27 23:55:23,New Jersey,NJ,2,CDC
2022-06-27,2022-06-27 23:55:23,New York,NY,63,CDC
2022-06-27,2022-06-27 23:55:23,North Carolina,NC,2,CDC
2022-06-27,2022-06-27 23:55:23,Ohio,OH,2,CDC
2022-06-27,2022-06-27 23:55:23,Oklahoma,OK,2,CDC
2022-06-27,2022-06-27 23:55:23,Oregon,OR,1,CDC
2022-06-27,2022-06-27 23:55:23,Pennsylvania,PA,4,CDC
2022-06-27,2022-06-27 23:55:23,Rhode Island,RI,1,CDC
2022-06-27,2022-06-27 23:55:23,Texas,TX,7,CDC
2022-06-27,2022-06-27 23:55:23,Utah,UT,4,CDC
2022-06-27,2022-06-27 23:55:23,Virginia,VA,3,CDC
2022-06-27,2022-06-27 23:55:23,Washington,WA,6,CDC
2022-06-27,2022-06-27 23:55:23,Non U.S. resident in the U.S.,Non U.S. resident in the U.S.,2,CDC
2022-06-28,2022-06-28 22:39:00,Arizona,AZ,1,CDC
2022-06-28,2022-06-28 22:39:00,California,CA,66,CDC
2022-06-28,2022-06-28 22:39:00,Colorado,CO,7,CDC
2022-06-28,2022-06-28 22:39:00,District of Columbia,DC,20,CDC
2022-06-28,2022-06-28 22:39:00,Florida,FL,27,CDC
2022-06-28,2022-06-28 22:39:00,Georgia,GA,7,CDC
2022-06-28,2022-06-28 22:39:00,Hawaii,HI,6,CDC
2022-06-28,2022-06-28 22:39:00,Illinois,IL,45,CDC
2022-06-28,2022-06-28 22:39:00,Indiana,IN,2,CDC
2022-06-28,2022-06-28 22:39:00,Kentucky,KY,1,CDC
2022-06-28,2022-06-28 22:39:00,Maryland,MD,5,CDC
2022-06-28,2022-06-28 22:39:00,Massachusetts,MA,13,CDC
2022-06-28,2022-06-28 22:39:00,Minnesota,MN,2,CDC
2022-06-28,2022-06-28 22:39:00,Missouri,MO,2,CDC
