time_stamp,snap_shot,State,Abbr,Cases,Range
2022-06-21,2022-06-21 23 57 17,Illinois,IL,15,1 to 2
2022-06-21,2022-06-21 23 57 17,Massachusetts,MA,7,1 to 2
2022-06-21,2022-06-21 23 57 17,Maryland,MD,1,1 to 2
2022-06-21,2022-06-21 23 57 17,Nevada,NV,1,1 to 2
2022-06-21,2022-06-21 23 57 17,New York,NY,21,1 to 2
2022-06-21,2022-06-21 23 57 17,Ohio,OH,1,1 to 2
2022-06-21,2022-06-21 23 57 17,Oklahoma,OK,2,1 to 2
2022-06-21,2022-06-21 23 57 17,Oregon,OR,1,1 to 2
2022-06-21,2022-06-21 23 57 17,Pennsylvania,PA,2,1 to 2
2022-06-21,2022-06-21 23 57 17,Rhode Island,RI,1,1 to 2
2022-06-21,2022-06-21 23 57 17,Texas,TX,2,1 to 2
2022-06-21,2022-06-21 23 57 17,Utah,UT,2,1 to 2
2022-06-21,2022-06-21 23 57 17,Virginia,VA,1,1 to 2
2022-06-21,2022-06-21 23 57 17,Washington,WA,2,1 to 2
2022-06-21,2022-06-21 23 57 17,Non U.S. resident in the U.S.,Non U.S. resident in the U.S.,2,1 to 2
2022-06-16,2022-06-16 23 24 03,Arizona,AZ,1,1 to 2
2022-06-16,2022-06-16 23 24 03,California,CA,21,1 to 2
2022-06-16,2022-06-16 23 24 03,Colorado,CO,4,1 to 2
2022-06-16,2022-06-16 23 24 03,District of Columbia,DC,4,1 to 2
2022-06-16,2022-06-16 23 24 03,Florida,FL,9,1 to 2
2022-06-16,2022-06-16 23 24 03,Georgia,GA,3,1 to 2
2022-06-16,2022-06-16 23 24 03,Hawaii,HI,5,1 to 2
2022-06-16,2022-06-16 23 24 03,Illinois,IL,13,1 to 2
2022-06-16,2022-06-16 23 24 03,Massachusetts,MA,7,1 to 2
2022-06-16,2022-06-16 23 24 03,Maryland,MD,1,1 to 2
2022-06-16,2022-06-16 23 24 03,Nevada,NV,1,1 to 2
2022-06-16,2022-06-16 23 24 03,New York,NY,17,1 to 2
2022-06-16,2022-06-16 23 24 03,Ohio,OH,1,1 to 2
2022-06-16,2022-06-16 23 24 03,Oklahoma,OK,1,1 to 2
